id,value,value1project
project.1.Ciudad de Mexico,"73454","73454"
project.2.Estado de Mexico,"52700","52700"
project.3.Tabasco,"21301","21301"
project.4.Veracruz,"20852","20852"
project.5.Guanajuato,"20770","20770"
project.6.Puebla,"20026","20026"
project.7.Sonora,"17545","17545"
project.8.Nuevo Leon,"17138","17138"
project.9.Tamaulipas,"16489","16489"
project.10.Baja California,"13390","13390"
project.11.Jalisco,"13061","13061"
project.12.Coahuila de Zaragoza,"12749","12749"
project.13.Sinaloa,"12685","12685"
project.14.Guerrero,"10886","10886"
project.15.Oaxaca,"10515","10515"
project.16.Michoacan,9759,9759
project.17.Yucatan,9630,9630
project.18.San Luis Potosi,9316,9316
project.19.Quintana Roo,7693,7693
project.20.Estado de Hidalgo,6749,6749
project.21.Chiapas,5747,5747
